n_estimators,tree_depth,min_samples_split,max_features,Accuracy
20,8,15,2,0.71641
20,8,15,4,0.842051
20,8,15,8,0.885128
20,8,15,10,0.871026
20,8,15,12,0.879231
20,8,15,16,0.865641
20,8,20,2,0.723846
20,8,20,4,0.847949
20,8,20,8,0.877692
20,8,20,10,0.872308
20,8,20,12,0.874103
20,8,20,16,0.859744
20,8,25,2,0.741282
20,8,25,4,0.849231
20,8,25,8,0.865641
20,8,25,10,0.878205
20,8,25,12,0.877692
20,8,25,16,0.870513
20,8,30,2,0.733333
20,8,30,4,0.846923
20,8,30,8,0.872564
20,8,30,10,0.875128
20,8,30,12,0.872821
20,8,30,16,0.862821
15,20,2,2,0.708974
15,20,2,4,0.842308
15,20,2,8,0.889487
15,20,2,10,0.898462
15,20,2,12,0.893333
15,20,2,16,0.899744
15,20,5,2,0.718718
15,20,5,4,0.846923
15,20,5,8,0.888205
15,20,5,10,0.891538
15,20,5,12,0.898205
15,20,5,16,0.895385
15,20,10,2,0.725641
15,20,10,4,0.852051
15,20,10,8,0.889744
15,20,10,10,0.892564
15,20,10,12,0.891795
15,20,10,16,0.894872
15,20,15,2,0.7
15,20,15,4,0.848462
15,20,15,8,0.891795
15,20,15,10,0.891282
15,20,15,12,0.900256
15,20,15,16,0.89
15,20,20,2,0.704872
15,20,20,4,0.841795
15,20,20,8,0.890256
15,20,20,10,0.888718
15,20,20,12,0.887949
15,20,20,16,0.878205
15,20,25,2,0.699231
15,20,25,4,0.845897
15,20,25,8,0.885385
15,20,25,10,0.888205
15,20,25,12,0.894359
15,20,25,16,0.881026
15,20,30,2,0.700256
15,20,30,4,0.844615
15,20,30,8,0.881026
15,20,30,10,0.890513
15,20,30,12,0.88359
15,20,30,16,0.878718
20,12,2,2,0.738205
20,12,2,4,0.860769
20,12,2,8,0.897436
20,12,2,10,0.897949
20,12,2,12,0.901538
20,12,2,16,0.898718
20,12,5,2,0.714615
20,12,5,4,0.85359
20,12,5,8,0.895897
20,12,5,10,0.895128
20,12,5,12,0.897692
20,12,5,16,0.897949
20,12,10,2,0.719487
20,12,10,4,0.857179
20,12,10,8,0.892564
20,12,10,10,0.894615
20,12,10,12,0.902308
20,12,10,16,0.892564
20,12,15,2,0.72641
20,12,15,4,0.857436
20,12,15,8,0.892308
20,12,15,10,0.900256
20,12,15,12,0.895641
20,12,15,16,0.894103
20,12,20,2,0.733077
20,12,20,4,0.855897
20,12,20,8,0.886923
20,12,20,10,0.890256
20,12,20,12,0.889744
20,12,20,16,0.886923
20,12,25,2,0.720256
20,12,25,4,0.847436
20,12,25,8,0.882564
20,12,25,10,0.885897
20,12,25,12,0.895385
20,12,25,16,0.889487
20,12,30,2,0.728205
20,12,30,4,0.84641
20,12,30,8,0.885641
20,12,30,10,0.891538
20,12,30,12,0.892564
20,12,30,16,0.876154
20,16,2,2,0.737436
20,16,2,4,0.855385
20,16,2,8,0.899231
20,16,2,10,0.900256
20,16,2,12,0.902308
20,16,2,16,0.900513
20,16,5,2,0.736667
20,16,5,4,0.862051
20,16,5,8,0.897436
20,16,5,10,0.894872
20,16,5,12,0.90359
20,16,5,16,0.902308
20,16,10,2,0.713077
20,16,10,4,0.861538
20,16,10,8,0.89
20,16,10,10,0.897692
20,16,10,12,0.901282
20,16,10,16,0.895385
20,16,15,2,0.731026
20,16,15,4,0.85641
20,16,15,8,0.888205
20,16,15,10,0.893077
20,16,15,12,0.901026
20,16,15,16,0.895128
20,16,20,2,0.731795
20,16,20,4,0.851538
20,16,20,8,0.89359
20,16,20,10,0.892564
20,16,20,12,0.893333
20,16,20,16,0.89
20,16,25,2,0.739231
20,16,25,4,0.854103
20,16,25,8,0.888462
20,16,25,10,0.891026
20,16,25,12,0.892308
20,16,25,16,0.887692
20,16,30,2,0.737692
20,16,30,4,0.857949
20,16,30,8,0.883846
20,16,30,10,0.894615
20,16,30,12,0.890513
20,16,30,16,0.882051
20,20,2,2,0.722564
20,20,2,4,0.85359
20,20,2,8,0.895897
20,20,2,10,0.902308
20,20,2,12,0.899744
20,20,2,16,0.89641
20,20,5,2,0.738462
20,20,5,4,0.863333
20,20,5,8,0.898205
20,20,5,10,0.902308
20,20,5,12,0.897949
20,20,5,16,0.895128
20,20,10,2,0.731795
20,20,10,4,0.846667
20,20,10,8,0.897179
20,20,10,10,0.898974
20,20,10,12,0.899231
20,20,10,16,0.888974
20,20,15,2,0.724872
20,20,15,4,0.850769
20,20,15,8,0.893077
20,20,15,10,0.895897
20,20,15,12,0.901026
20,20,15,16,0.892821
20,20,20,2,0.721282
20,20,20,4,0.85641
20,20,20,8,0.889487
20,20,20,10,0.897436
20,20,20,12,0.895385
20,20,20,16,0.889231
20,20,25,2,0.735385
20,20,25,4,0.854103
20,20,25,8,0.887179
20,20,25,10,0.888974
20,20,25,12,0.887179
20,20,25,16,0.883846
20,20,30,2,0.730513
20,20,30,4,0.844359
20,20,30,8,0.890256
20,20,30,10,0.888462
20,20,30,12,0.894359
20,20,30,16,0.880256
25,20,2,2,0.746667
25,20,2,4,0.867179
25,20,2,8,0.902308
25,20,2,10,0.902051
25,20,2,12,0.905897
25,20,2,16,0.896667
25,20,5,2,0.742308
25,20,5,4,0.865385
25,20,5,8,0.897179
25,20,5,10,0.895641
25,20,5,12,0.904359
25,20,5,16,0.896923
25,20,10,2,0.743333
25,20,10,4,0.86641
25,20,10,8,0.894615
25,20,10,10,0.900769
25,20,10,12,0.903333
25,20,10,16,0.897179
25,20,15,2,0.75
25,20,15,4,0.862821
25,20,15,8,0.897179
25,20,15,10,0.896667
25,20,15,12,0.899487
25,20,15,16,0.893077
25,20,20,2,0.747692
25,20,20,4,0.86
25,20,20,8,0.887692
25,20,20,10,0.903077
25,20,20,12,0.896667
25,20,20,16,0.887949
25,20,25,2,0.748974
25,20,25,4,0.866667
25,20,25,8,0.891795
25,20,25,10,0.893846
25,20,25,12,0.895385
25,20,25,16,0.885385
25,20,30,2,0.73641
25,20,30,4,0.858974
25,20,30,8,0.887949
25,20,30,10,0.893077
25,20,30,12,0.894872
25,20,30,16,0.884615
30,20,2,2,0.752564
30,20,2,4,0.868974
30,20,2,8,0.895128
30,20,2,10,0.901026
30,20,2,12,0.903333
30,20,2,16,0.894872
30,20,5,2,0.737179
30,20,5,4,0.868462
30,20,5,8,0.89641
30,20,5,10,0.903846
30,20,5,12,0.905897
30,20,5,16,0.898974
30,20,10,2,0.768462
30,20,10,4,0.863077
30,20,10,8,0.897949
30,20,10,10,0.901538
30,20,10,12,0.900513
30,20,10,16,0.898974
30,20,15,2,0.754103
30,20,15,4,0.863846
30,20,15,8,0.899231
30,20,15,10,0.904872
30,20,15,12,0.902051
30,20,15,16,0.896923
30,20,20,2,0.761538
30,20,20,4,0.870513
30,20,20,8,0.89641
30,20,20,10,0.896667
30,20,20,12,0.899231
30,20,20,16,0.890513
30,20,25,2,0.762564
30,20,25,4,0.862564
30,20,25,8,0.891026
30,20,25,10,0.894359
30,20,25,12,0.895897
30,20,25,16,0.885128
30,20,30,2,0.750256
30,20,30,4,0.861282
30,20,30,8,0.889231
30,20,30,10,0.898718
30,20,30,12,0.894872
30,20,30,16,0.879487
30,8,2,2,0.750256
30,8,2,4,0.852051
30,8,2,8,0.878974
30,8,2,10,0.884103
30,8,2,12,0.879487
30,8,2,16,0.874359
30,8,5,2,0.745641
30,8,5,4,0.846923
30,8,5,8,0.878205
30,8,5,10,0.886154
30,8,5,12,0.882821
30,8,5,16,0.868718
30,8,10,2,0.754872
30,8,10,4,0.858974
30,8,10,8,0.881282
