n_estimators,tree_depth,min_samples_split,max_features,Accuracy
25,8,10,10,0.937692
25,8,10,12,0.93359
25,8,10,16,0.910513
25,8,15,2,0.76359
25,8,15,4,0.897949
25,8,15,8,0.94
25,8,15,10,0.936667
25,8,15,12,0.930513
25,8,15,16,0.901538
25,8,20,2,0.759487
25,8,20,4,0.899231
25,8,20,8,0.932308
25,8,20,10,0.933846
25,8,20,12,0.926154
25,8,20,16,0.904103
25,8,25,2,0.767436
25,8,25,4,0.896923
25,8,25,8,0.929487
25,8,25,10,0.928205
25,8,25,12,0.924615
25,8,25,16,0.898462
25,8,30,2,0.771538
25,8,30,4,0.89
25,8,30,8,0.931795
25,8,30,10,0.926923
25,8,30,12,0.928462
25,8,30,16,0.908718
15,4,2,2,0.680769
15,4,2,4,0.734103
15,4,2,8,0.750513
15,4,2,10,0.747436
15,4,2,12,0.737436
15,4,2,16,0.66359
15,4,5,2,0.678974
15,4,5,4,0.745641
15,4,5,8,0.753846
15,4,5,10,0.737179
15,4,5,12,0.731026
15,4,5,16,0.66
15,4,10,2,0.672308
15,4,10,4,0.757949
15,4,10,8,0.754359
15,4,10,10,0.738205
15,4,10,12,0.722564
15,4,10,16,0.654103
15,4,15,2,0.672564
15,4,15,4,0.751538
15,4,15,8,0.756923
15,4,15,10,0.749487
15,4,15,12,0.704872
15,4,15,16,0.645897
15,4,20,2,0.675385
15,4,20,4,0.755897
15,4,20,8,0.755385
15,4,20,10,0.73641
15,4,20,12,0.725385
15,4,20,16,0.660769
15,4,25,2,0.680513
15,4,25,4,0.748462
15,4,25,8,0.741538
15,4,25,10,0.752051
15,4,25,12,0.722564
15,4,25,16,0.669487
15,4,30,2,0.706923
15,4,30,4,0.750256
15,4,30,8,0.75359
15,4,30,10,0.738462
15,4,30,12,0.72359
15,4,30,16,0.663077
15,8,2,2,0.731538
15,8,2,4,0.889744
15,8,2,8,0.934615
15,8,2,10,0.929744
15,8,2,12,0.93
15,8,2,16,0.90359
15,8,5,2,0.731026
15,8,5,4,0.874872
15,8,5,8,0.927692
15,8,5,10,0.929744
15,8,5,12,0.924872
15,8,5,16,0.904615
15,8,10,2,0.720513
15,8,10,4,0.891026
15,8,10,8,0.924103
15,8,10,10,0.926923
15,8,10,12,0.922564
15,8,10,16,0.901795
15,8,15,2,0.731795
15,8,15,4,0.874103
15,8,15,8,0.927179
15,8,15,10,0.926923
15,8,15,12,0.925641
15,8,15,16,0.898462
15,8,20,2,0.739744
15,8,20,4,0.883077
15,8,20,8,0.927949
15,8,20,10,0.930256
15,8,20,12,0.924103
15,8,20,16,0.900513
15,8,25,2,0.731795
15,8,25,4,0.871795
15,8,25,8,0.923846
15,8,25,10,0.923333
15,8,25,12,0.92
15,8,25,16,0.897692
15,8,30,2,0.715897
15,8,30,4,0.873846
15,8,30,8,0.924872
15,8,30,10,0.918974
15,8,30,12,0.917692
15,8,30,16,0.89
15,12,2,2,0.737949
15,12,2,4,0.904872
15,12,2,8,0.958718
15,12,2,10,0.963077
15,12,2,12,0.964615
15,12,2,16,0.951026
15,12,5,2,0.736154
15,12,5,4,0.908462
15,12,5,8,0.960769
15,12,5,10,0.964103
15,12,5,12,0.96359
15,12,5,16,0.95359
15,12,10,2,0.736923
15,12,10,4,0.905128
15,12,10,8,0.95641
15,12,10,10,0.956667
15,12,10,12,0.964359
15,12,10,16,0.952051
15,12,15,2,0.728718
15,12,15,4,0.899231
15,12,15,8,0.963077
15,12,15,10,0.961026
15,12,15,12,0.956923
15,12,15,16,0.946667
15,12,20,2,0.735897
15,12,20,4,0.9
15,12,20,8,0.950769
15,12,20,10,0.956667
15,12,20,12,0.952564
15,12,20,16,0.937692
15,12,25,2,0.72641
15,12,25,4,0.893333
15,12,25,8,0.951538
15,12,25,10,0.947949
15,12,25,12,0.948974
15,12,25,16,0.94
15,12,30,2,0.738974
15,12,30,4,0.900256
15,12,30,8,0.938974
15,12,30,10,0.946667
15,12,30,12,0.952308
15,12,30,16,0.934359
15,16,2,2,0.736154
15,16,2,4,0.904615
15,16,2,8,0.964615
15,16,2,10,0.96641
15,16,2,12,0.972051
15,16,2,16,0.957692
15,16,5,2,0.719744
15,16,5,4,0.914615
15,16,5,8,0.963846
15,16,5,10,0.965641
15,16,5,12,0.963077
15,16,5,16,0.955897
15,16,10,2,0.716667
15,16,10,4,0.905128
15,16,10,8,0.960256
15,16,10,10,0.962564
15,16,10,12,0.961026
15,16,10,16,0.956923
15,16,15,2,0.73
15,16,15,4,0.908462
15,16,15,8,0.961282
